iter	Passed	Remaining
0	2	1064
1	5	1005
2	7	1049
3	10	1013
4	13	1028
5	15	1001
6	17	981
7	20	981
8	22	967
9	24	955
10	26	950
11	29	941
12	31	934
13	33	932
14	36	927
15	38	923
16	40	922
17	43	918
18	45	920
19	48	917
20	50	911
21	53	912
22	55	908
23	57	903
24	60	903
25	62	897
26	64	893
27	67	892
28	69	888
29	71	884
30	73	880
31	75	873
32	77	866
33	80	863
34	82	857
35	84	851
36	86	849
37	88	843
38	90	838
39	92	836
40	94	831
41	96	826
42	99	823
43	101	820
44	103	815
45	105	813
46	107	809
47	109	804
48	111	801
49	114	802
50	116	799
51	119	797
52	121	794
53	123	790
54	125	787
55	127	785
56	129	781
57	131	777
58	134	775
59	136	771
60	138	767
61	140	766
62	142	761
63	144	758
64	146	756
65	148	753
66	150	749
67	153	748
68	155	744
69	157	741
70	159	738
71	161	735
72	163	732
73	165	728
74	167	726
75	169	723
76	171	719
77	173	717
78	175	714
79	177	711
80	180	709
81	182	706
82	184	703
83	186	702
84	188	699
85	190	696
86	192	694
87	194	691
88	196	688
89	199	685
90	201	683
91	203	680
92	205	677
93	207	675
94	209	672
95	211	669
96	213	667
97	215	664
98	217	661
99	219	659
100	221	656
101	223	653
102	225	651
103	228	649
104	229	646
105	232	643
106	234	641
107	236	639
108	238	636
109	240	634
110	242	631
111	244	629
112	247	627
113	248	624
114	250	621
115	253	619
116	255	617
117	257	614
118	259	612
119	261	610
120	263	607
121	265	604
122	267	602
123	269	600
124	271	597
125	273	595
126	275	592
127	277	589
128	279	587
129	281	585
130	283	582
131	285	580
132	288	578
133	290	576
134	292	573
135	294	571
136	296	568
137	298	566
138	300	564
139	302	562
140	304	559
141	307	558
142	309	556
143	311	553
144	314	552
145	316	550
146	318	548
147	321	546
148	323	544
149	325	542
150	328	541
151	330	539
152	332	537
153	335	535
154	337	533
155	340	532
156	348	539
157	350	537
158	352	534
159	355	532
160	357	530
161	359	528
162	362	526
163	364	524
164	366	521
165	368	520
166	371	517
167	373	515
168	376	514
169	378	511
170	380	510
171	383	508
172	385	505
173	388	504
174	390	502
175	392	500
176	395	498
177	397	495
178	399	493
179	402	491
180	404	489
181	407	487
182	409	485
183	411	483
184	414	481
185	416	478
186	418	476
187	421	475
188	423	472
189	425	470
190	428	468
191	430	466
192	432	463
193	434	461
194	437	459
195	439	457
196	441	455
197	444	453
198	446	451
199	448	448
200	451	446
201	453	444
202	456	442
203	458	440
204	460	438
205	462	435
206	464	433
207	467	431
208	469	429
209	471	426
210	474	424
211	476	422
212	478	420
213	481	418
214	483	416
215	485	413
216	488	411
217	490	409
218	492	407
219	494	404
220	497	402
221	499	400
222	502	398
223	504	396
224	506	393
225	508	391
226	511	389
227	513	387
228	515	385
229	518	382
230	520	380
231	523	378
232	525	376
233	527	374
234	530	372
235	532	369
236	534	367
237	537	365
238	539	363
239	541	361
240	544	358
241	546	356
242	548	354
243	550	352
244	553	349
245	555	347
246	558	345
247	560	343
248	562	341
249	564	338
250	567	336
251	569	334
252	571	332
253	574	330
254	576	327
255	578	325
256	581	323
257	583	321
258	585	318
259	588	316
260	590	314
261	593	312
262	595	310
263	597	307
264	599	305
265	602	303
266	604	301
267	606	298
268	609	296
269	611	294
270	614	292
271	616	290
272	618	287
273	621	285
274	623	283
275	626	281
276	628	279
277	630	276
278	633	274
279	635	272
280	637	270
281	640	267
282	642	265
283	644	263
284	646	260
285	648	258
286	650	256
287	652	253
288	655	251
289	657	249
290	659	246
291	661	244
292	663	242
293	665	239
294	667	237
295	669	235
296	671	233
297	674	230
298	676	228
299	678	226
300	680	223
301	682	221
302	684	219
303	686	216
304	688	214
305	690	212
306	692	209
307	694	207
308	696	205
309	698	202
310	701	200
311	703	198
312	705	196
313	707	193
314	709	191
315	711	189
316	713	186
317	715	184
318	717	182
319	720	180
320	722	177
321	724	175
322	726	173
323	728	170
324	730	168
325	732	166
326	734	164
327	736	161
328	738	159
329	740	157
330	742	154
331	744	152
332	747	150
333	749	148
334	751	145
335	753	143
336	755	141
337	757	138
338	759	136
339	761	134
340	763	132
341	765	129
342	767	127
343	769	125
344	771	123
345	774	120
346	776	118
347	778	116
348	780	114
349	782	111
350	784	109
351	786	107
352	788	105
353	790	102
354	792	100
355	794	98
356	796	95
357	798	93
358	801	91
359	802	89
360	804	86
361	807	84
362	809	82
363	810	80
364	812	77
365	815	75
366	816	73
367	818	71
368	821	68
369	823	66
370	825	64
371	827	62
372	829	60
373	831	57
374	833	55
375	835	53
376	837	51
377	839	48
378	841	46
379	843	44
380	845	42
381	848	39
382	849	37
383	851	35
384	854	33
385	856	31
386	858	28
387	860	26
388	862	24
389	864	22
390	866	19
391	868	17
392	870	15
393	872	13
394	874	11
395	877	8
396	879	6
397	881	4
398	883	2
399	885	0
